mlow,mhigh,ptcut,etcut,mode,order,sigma_fb,unc_stat_fb,unc_lumi_fb,N_selected,N_background,eff,delta_df,delta_ss,data_n_total,data_n_after_mass,data_n_after_iso,data_n_after_mass_and_iso
60,120,8,5,none,iso -> df -> ss,2252400.2577653825,459.9782285055069,38290.804382011505,24245808.0,89642.84153965811,0.29302274773358117,,,26363258,25149399,25394841,24245808
60,120,8,5,none,df -> iso -> ss,2252400.2577653825,459.9782285055069,38290.804382011505,24245808.0,89642.84153965811,0.29302274773358117,,,26363258,25149399,25394841,24245808
60,120,8,5,none,ss -> iso -> df,2252400.2577653825,459.9782285055069,38290.804382011505,24245808.0,89642.84153965811,0.29302274773358117,,,26363258,25149399,25394841,24245808
60,120,8,5,none,df -> ss -> iso,2252400.2577653825,459.9782285055069,38290.804382011505,24245808.0,89642.84153965811,0.29302274773358117,,,26363258,25149399,25394841,24245808
60,120,8,5,df,iso -> df -> ss,2250390.6227543037,459.56782704637385,38256.64058682317,24245808.0,89642.84153965811,0.29328442175894087,21273.988358655362,,26363258,25149399,25394841,24245808
60,120,8,5,df,df -> iso -> ss,2250390.6227543037,459.56782704637385,38256.64058682317,24245808.0,89642.84153965811,0.29328442175894087,21273.988358655362,,26363258,25149399,25394841,24245808
60,120,8,5,df,ss -> iso -> df,2250390.6227543037,459.56782704637385,38256.64058682317,24245808.0,89642.84153965811,0.29328442175894087,21273.988358655362,,26363258,25149399,25394841,24245808
60,120,8,5,df,df -> ss -> iso,2250390.6227543037,459.56782704637385,38256.64058682317,24245808.0,89642.84153965811,0.29328442175894087,21273.988358655362,,26363258,25149399,25394841,24245808
60,120,8,5,ss,iso -> df -> ss,2252171.0954965837,459.95500090302653,38286.90862344192,24243350.3188689,89642.84153965811,0.29302274773358117,,2457.681131097418,26363258,25149399,25394841,24245808
60,120,8,5,ss,df -> iso -> ss,2252171.0954965837,459.95500090302653,38286.90862344192,24243350.3188689,89642.84153965811,0.29302274773358117,,2457.681131097418,26363258,25149399,25394841,24245808
60,120,8,5,ss,ss -> iso -> df,2252171.0954965837,459.95500090302653,38286.90862344192,24243350.3188689,89642.84153965811,0.29302274773358117,,2457.681131097418,26363258,25149399,25394841,24245808
60,120,8,5,ss,df -> ss -> iso,2252171.0954965837,459.95500090302653,38286.90862344192,24243350.3188689,89642.84153965811,0.29302274773358117,,2457.681131097418,26363258,25149399,25394841,24245808
60,120,8,5,df+ss,iso -> df -> ss,2250161.664948507,459.54462016800903,38252.74830412462,24243350.3188689,89642.84153965811,0.29328442175894087,21273.988358655362,2457.681131097418,26363258,25149399,25394841,24245808
60,120,8,5,df+ss,df -> iso -> ss,2250161.664948507,459.54462016800903,38252.74830412462,24243350.3188689,89642.84153965811,0.29328442175894087,21273.988358655362,2457.681131097418,26363258,25149399,25394841,24245808
60,120,8,5,df+ss,ss -> iso -> df,2250161.664948507,459.54462016800903,38252.74830412462,24243350.3188689,89642.84153965811,0.29328442175894087,21273.988358655362,2457.681131097418,26363258,25149399,25394841,24245808
