ptcut,etcut,mode,order,mlow,mhigh,sigma_fb,unc_stat_fb,unc_lumi_fb,N_selected,N_background,eff,delta_df,delta_ss,data_n_total,data_n_after_mass,data_n_after_iso,data_n_after_mass_and_iso
2,2,none,iso -> df -> ss,66,116,2213838.7540140934,514.0193565057815,37635.25881823959,18709599.0,53558.55097398215,0.2302461641330923,,,26363258,24783058,19873862,18709599
2,2,df,iso -> df -> ss,66,116,2212487.715531413,513.7056661205975,37612.291164034024,18709599.0,53558.55097398215,0.23038676216943374,11430.561303385453,,26363258,24783058,19873862,18709599
2,2,ss,iso -> df -> ss,66,116,2213769.5269762143,514.0113655971185,37634.08195859564,18709015.62308671,53558.55097398215,0.2302461641330923,,583.3769132923107,26363258,24783058,19873862,18709599
2,2,df+ss,iso -> df -> ss,66,116,2212418.5307406904,513.697680088543,37611.11502259174,18709015.62308671,53558.55097398215,0.23038676216943374,11430.561303385453,583.3769132923107,26363258,24783058,19873862,18709599
2,3,none,iso -> df -> ss,66,116,2222949.5629541157,485.0170923882032,37790.14257021997,21188075.0,60895.82918280052,0.2596754070159279,,,26363258,24783058,22500279,21188075
2,3,df,iso -> df -> ss,66,116,2221583.4234529096,484.7190194945514,37766.918198699466,21188075.0,60895.82918280052,0.259835091692754,12982.297158398316,,26363258,24783058,22500279,21188075
2,3,ss,iso -> df -> ss,66,116,2222878.893334395,485.0094269455235,37788.941186684715,21187403.34746111,60895.82918280052,0.2596754070159279,,671.6525388879979,26363258,24783058,22500279,21188075
2,3,df+ss,iso -> df -> ss,66,116,2221512.797264025,484.71135876275866,37765.71755348843,21187403.34746111,60895.82918280052,0.259835091692754,12982.297158398316,671.6525388879979,26363258,24783058,22500279,21188075
2,4,none,iso -> df -> ss,66,116,2225093.0291973706,472.8347407319124,37826.581496355306,22338037.0,64561.355053079635,0.273500883040114,,,26363258,24783058,23719263,22338037
2,4,df,iso -> df -> ss,66,116,2223741.8244174314,472.5476082150177,37803.611015096336,22338037.0,64561.355053079635,0.2736670694635664,13510.886428380603,,26363258,24783058,23719263,22338037
2,4,ss,iso -> df -> ss,66,116,2225019.7843532264,472.8270032183968,37825.33633400485,22337303.80941841,64561.355053079635,0.273500883040114,,733.190581590825,26363258,24783058,23719263,22338037
2,4,df+ss,iso -> df -> ss,66,116,2223668.6240517795,472.5398754001664,37802.36660888026,22337303.80941841,64561.355053079635,0.2736670694635664,13510.886428380603,733.190581590825,26363258,24783058,23719263,22338037
2,5,none,iso -> df -> ss,66,116,2225208.292132061,467.26246600919,37828.54096624504,22877017.0,66337.21223357547,0.28008282161978393,,,26363258,24783058,24291441,22877017
2,5,df,iso -> df -> ss,66,116,2223859.7268419475,466.9792862523731,37805.61535631311,22877017.0,66337.21223357547,0.2802526659526052,13808.272923747558,,26363258,24783058,24291441,22877017
2,5,ss,iso -> df -> ss,66,116,2225132.3445032397,467.25453808565334,37827.24985655508,22876238.45848197,66337.21223357547,0.28008282161978393,,778.5415180285343,26363258,24783058,24291441,22877017
2,5,df+ss,iso -> df -> ss,66,116,2223783.8252404286,466.9713631334754,37804.32502908729,22876238.45848197,66337.21223357547,0.2802526659526052,13808.272923747558,778.5415180285343,26363258,24783058,24291441,22877017
2,6,none,iso -> df -> ss,66,116,2225077.8945604237,464.5133004323376,37826.32420752721,23146329.0,67262.6488664536,0.2833948352576116,,,26363258,24783058,24577406,23146329
2,6,df,iso -> df -> ss,66,116,2223728.8790409225,464.2316762910751,37803.39094369568,23146329.0,67262.6488664536,0.28356675551035115,13977.044341216315,,26363258,24783058,24577406,23146329
2,6,ss,iso -> df -> ss,66,116,2224997.537246461,464.504961160248,37824.95813318984,23145495.513772268,67262.6488664536,0.2833948352576116,,833.4862277325225,26363258,24783058,24577406,23146329
2,6,df+ss,iso -> df -> ss,66,116,2223648.570445822,464.22334207490167,37802.02569757898,23145495.513772268,67262.6488664536,0.28356675551035115,13977.044341216315,833.4862277325225,26363258,24783058,24577406,23146329
2,7,none,iso -> df -> ss,66,116,2225249.9627804956,463.08485368615885,37829.24936726843,23293013.0,67710.81401465961,0.28516845684375697,,,26363258,24783058,24733275,23293013
2,7,df,iso -> df -> ss,66,116,2223898.058806694,462.80351618952847,37806.2669997138,23293013.0,67710.81401465961,0.2853418102798478,14093.561545739125,,26363258,24783058,24733275,23293013
2,7,ss,iso -> df -> ss,66,116,2225167.9012328526,463.0763644123577,37827.8543209585,23292156.51004438,67710.81401465961,0.28516845684375697,,856.4899556180278,26363258,24783058,24733275,23293013
2,7,df+ss,iso -> df -> ss,66,116,2223816.047113824,462.79503207320766,37804.872800935016,23292156.51004438,67710.81401465961,0.2853418102798478,14093.561545739125,856.4899556180278,26363258,24783058,24733275,23293013
2,8,none,iso -> df -> ss,66,116,2225682.255278063,462.3124918396957,37836.598339727076,23380026.0,67976.34926340684,0.2861779779110067,,,26363258,24783058,24825980,23380026
2,8,df,iso -> df -> ss,66,116,2224321.458881034,462.0298310188598,37813.464800977585,23380026.0,67976.34926340684,0.2863530560049105,14233.775501577766,,26363258,24783058,24825980,23380026
2,8,ss,iso -> df -> ss,66,116,2225598.5167724756,462.3038452202093,37835.17478513209,23379148.913347,67976.34926340684,0.2861779779110067,,877.0866530029657,26363258,24783058,24825980,23380026
2,8,df+ss,iso -> df -> ss,66,116,2224237.771573706,462.02118968597193,37812.04211675301,23379148.913347,67976.34926340684,0.2863530560049105,14233.775501577766,877.0866530029657,26363258,24783058,24825980,23380026
2,9,none,iso -> df -> ss,66,116,2226375.826922404,461.8975718309954,37848.38905768087,23436650.0,68141.2847809993,0.2867817000873177,,,26363258,24783058,24886323,23436650
2,9,df,iso -> df -> ss,66,116,2225007.757929766,461.61374385453456,37825.131884806025,23436650.0,68141.2847809993,0.28695803077656906,14335.61097724791,,26363258,24783058,24886323,23436650
2,9,ss,iso -> df -> ss,66,116,2226289.2553399825,461.88864347788194,37846.917340779706,23435741.32647155,68141.2847809993,0.2867817000873177,,908.6735284516262,26363258,24783058,24886323,23436650
2,9,df+ss,iso -> df -> ss,66,116,2224921.2395440675,461.60482098773787,37823.66107224915,23435741.32647155,68141.2847809993,0.28695803077656906,14335.61097724791,908.6735284516262,26363258,24783058,24886323,23436650
2,10,none,iso -> df -> ss,66,116,2227341.76945529,461.70698429773563,37864.81008073993,23476275.0,68227.99408740667,0.28714233918444215,,,26363258,24783058,24928722,23476275
2,10,df,iso -> df -> ss,66,116,2225966.1766560213,461.42183685800194,37841.42500315236,23476275.0,68227.99408740667,0.28731978614580644,14426.363431192309,,26363258,24783058,24928722,23476275
2,10,ss,iso -> df -> ss,66,116,2227254.168568162,461.69795741105713,37863.32086565875,23475354.36639461,68227.99408740667,0.28714233918444215,,920.6336053920656,26363258,24783058,24928722,23476275
2,10,df+ss,iso -> df -> ss,66,116,2225878.629870671,461.4128155462741,37839.936707801404,23475354.36639461,68227.99408740667,0.28731978614580644,14426.363431192309,920.6336053920656,26363258,24783058,24928722,23476275
2,11,none,iso -> df -> ss,66,116,2228580.44743989,461.67379219498645,37885.86760647813,23505683.0,68283.41291988386,0.28734260397565814,,,26363258,24783058,24960286,23505683
2,11,df,iso -> df -> ss,66,116,2227199.224598941,461.3876574101373,37862.386818182,23505683.0,68283.41291988386,0.2875208027480919,14487.485355377677,,26363258,24783058,24960286,23505683
2,11,ss,iso -> df -> ss,66,116,2228490.9642576976,461.664577108226,37884.34639238086,23504741.92870066,68283.41291988386,0.28734260397565814,,941.0712993415959,26363258,24783058,24960286,23505683
2,11,df+ss,iso -> df -> ss,66,116,2227109.7968763644,461.37844803467544,37860.8665468982,23504741.92870066,68283.41291988386,0.2875208027480919,14487.485355377677,941.0712993415959,26363258,24783058,24960286,23505683
2,12,none,iso -> df -> ss,66,116,2229845.142634402,461.7128894850131,37907.36742478484,23528330.0,68331.2884216016,0.28745654085975,,,26363258,24783058,24984665,23528330
2,12,df,iso -> df -> ss,66,116,2228458.838425082,461.42584061782844,37883.8002532264,23528330.0,68331.2884216016,0.2876353649895562,14538.32664711558,,26363258,24783058,24984665,23528330
2,12,ss,iso -> df -> ss,66,116,2229753.917215542,461.7034994976601,37905.81659266422,23527370.22563361,68331.2884216016,0.28745654085975,,959.7743663886737,26363258,24783058,24984665,23528330
2,12,df+ss,iso -> df -> ss,66,116,2228367.669721453,461.4164564682706,37882.250385264706,23527370.22563361,68331.2884216016,0.2876353649895562,14538.32664711558,959.7743663886737,26363258,24783058,24984665,23528330
2,13,none,iso -> df -> ss,66,116,2231089.8729393417,461.79315691675083,37928.52783996881,23546355.0,68362.87546167235,0.2875165193656712,,,26363258,24783058,25004313,23546355
2,13,df,iso -> df -> ss,66,116,2229699.8741553933,461.50545361338527,37904.897860641686,23546355.0,68362.87546167235,0.28769575766447353,14571.998412547211,,26363258,24783058,25004313,23546355
2,13,ss,iso -> df -> ss,66,116,2230997.5093175173,461.7836534065138,37926.9576583978,23545383.047945492,68362.87546167235,0.2875165193656712,,971.9520545072813,26363258,24783058,25004313,23546355
2,13,df+ss,iso -> df -> ss,66,116,2229607.5680773384,461.495956023962,37903.328657314756,23545383.047945492,68362.87546167235,0.28769575766447353,14571.998412547211,971.9520545072813,26363258,24783058,25004313,23546355
2,14,none,iso -> df -> ss,66,116,2232187.0381727675,461.8759055216674,37947.17964893705,23561021.0,68387.62758106468,0.2875544108884551,,,26363258,24783058,25020538,23561021
2,14,df,iso -> df -> ss,66,116,2230793.039489732,461.58746445780827,37923.48167132545,23561021.0,68387.62758106468,0.28773410056068544,14608.694882661192,,26363258,24783058,25020538,23561021
2,14,ss,iso -> df -> ss,66,116,2232093.628449265,461.86629736265826,37945.5916836375,23560037.91016472,68387.62758106468,0.2875544108884551,,983.0898352795004,26363258,24783058,25020538,23561021
2,14,df+ss,iso -> df -> ss,66,116,2230699.688100513,461.5778622990853,37921.894697708725,23560037.91016472,68387.62758106468,0.28773410056068544,14608.694882661192,983.0898352795004,26363258,24783058,25020538,23561021
2,15,none,iso -> df -> ss,66,116,2233187.638706744,461.9625181158083,37964.18985801465,23573243.0,68401.87660373465,0.2875749277544783,,,26363258,24783058,25034257,23573243
2,15,df,iso -> df -> ss,66,116,2231789.3990864432,461.67327493501693,37940.41978446954,23573243.0,68401.87660373465,0.2877550964827445,14647.64193717578,,26363258,24783058,25034257,23573243
2,15,ss,iso -> df -> ss,66,116,2233093.646730837,461.9528525677969,37962.591994424234,23572253.711674076,68401.87660373465,0.2875749277544783,,989.2883259256242,26363258,24783058,25034257,23573243
